ID,Fecha de detección,Nombre de la oportunidad,Entidad financiadora,Tipo de entidad,País / región de la entidad,Países elegibles,Sector o tema principal,Subtema,Tipo de apoyo,Monto disponible,Moneda,Cofinanciación requerida,Fecha de apertura,Fecha de cierre,Estado,Nivel de urgencia,URL oficial,URL secundaria,Resumen ejecutivo,Pertinencia para Visión Circular ANDI,Posibles líneas de proyecto aplicables,Requisitos principales,Documentos requeridos,Aliados potenciales,Riesgos o restricciones,Recomendación de acción,Próximo paso sugerido,Responsable sugerido,Score de pertinencia (1-5),Score de urgencia (1-5),Score de probabilidad de aplicación (1-5),Observaciones,Hash o clave para evitar duplicados,Fecha de última revisión
VC-0001,2026-05-29,Premio al Compromiso Empresarial con la Economía Circular,Conservation International Colombia (en alianza con otros actores),ONG,Colombia,Colombia,Economía circular,"Reducción, reutilización, reciclaje, regeneración de materiales",Premio o challenge; Fortalecimiento institucional,No especificado,No especificado,No especificado,2025-08-19,2025-09-30,Requiere verificación manual,Requiere verificación,https://www.conservation.org.co/Noticias/lista-de-noticias/premio-al-compromiso-empresarial-con-la-econom%C3%ADa-circular,No especificado,"Premio dirigido a empresas grandes, Mipymes, startups, jóvenes emprendedores e investigadores de Colombia que desarrollen soluciones circulares con resultados medibles en el último año. Los ganadores obtendrán estatuilla, certificado y mención pública. Evaluación del 7 al 27 de octubre 2025 con resultados en noviembre.","Altamente relevante para Visión Circular ANDI por enfocarse en reconocimiento y visibilización de prácticas de economía circular en envases, empaques, reciclaje, y modelos circulares empresariales en Colombia, con criterios de innovación, escalabilidad y alianzas.",Postular proyectos piloto de Visión Circular 2025-2026 en categorías de Mipymes o empresas grandes; postular emprendedores jóvenes de ecosistema circular; reconocimiento de iniciativas de inclusión de recicladores o ecodiseño de envases/empaques,"Proyecto en ejecución o con resultados medibles en el último año; que promueva reducción, reutilización, reciclaje o regeneración de materiales",No especificado (consultar enlace de registro oficial),Empresas afiliadas a ANDI; universidades y centros tecnológicos; cooperativas de recicladores; gremios sectoriales,Requisitos y criterios de evaluación no detallados en fuente; falta especificar formulario de inscripción o documentación requerida,"Identificar 2-3 proyectos exitosos del portafolio Visión Circular 2025-2026 aptos para postular (ej. PI25 Celema vidrio, PI26 Equirent movilidad sostenible, PI53 recolección envases). Validar requisitos y preparar documentación de resultados e impactos.",Contactar a Conservation International Colombia para solicitar TdR y formulario oficial de postulación; pre-identificar proyectos candidatos con métricas de impacto,Coordinación de proyectos Visión Circular; Comunicaciones ANDI,5,1,5,Convocatoria plenamente vigente para 2025. El enlace oficial confirma fechas y estructura. ANDI tiene múltiples proyectos elegibles. Falta detalle sobre el proceso de registro (requiere validar formulario oficial). | Fuente fuera del listado oficial conocido (conservation.org.co): verificar oficialidad,d14b668fa906ab57,2026-05-29
VC-0002,2026-05-29,Convocatoria Visión Circular 2025-2026 (Proyectos de Innovación),ANDI - Visión Circular,Gremio,Colombia,Colombia,Economía circular,"Envases y empaques, reciclaje, inclusión de recicladores, modelos circulares empresariales",Cofinanciación; Piloto demostrativo; Innovación; Inclusión social,Entre 150 millones y 243 millones COP por proyecto (según tabla de proyectos aprobados),COP,"Sí, aportes de empresas y organizaciones postulantes",No especificado,No especificado (se presume abierta para ciclo 2025-2026),Requiere verificación manual,Requiere verificación,https://www.andi.com.co/Uploads/Conv.%20Visi%C3%B3n%20Circular%202025-2026.pdf,https://www.andi.com.co,"Convocatoria interna de Visión Circular ANDI que co-financia proyectos de innovación circular con empresas, organizaciones de recicladores, emprendimientos y entidades territoriales. Montos entre $150M y $243M COP para pilotos en reciclaje de vidrio, plásticos, movilidad sostenible de recicladores, inclusión de víctimas, ecoeficiencia y REP.","Es el programa propio de ANDI Visión Circular. Totalmente pertinente, ya que busca demostrar modelos circulares escalables en envases, empaques, plásticos, inclusión de recicladores y cumplimiento REP en territorios colombianos.",Implementación de esquemas de recolección de envases y empaques; transformación de botellas de vidrio posconsumo; renta de motocarros eléctricos para recicladores; producción de bolsos ecológicos con materiales reciclados; peletizadoras para reciclaje de plásticos,Alianza empresa-organización social o territorial; plan de ejecución 12 meses; cumplimiento con lineamientos de REP y circularidad; contrapartidas de postulantes,Propuesta técnica y financiera; carta de intención de aliados; plan de indicadores de impacto; certificaciones organizacionales,Empresas productoras de envases; organizaciones de recicladores; alcaldías; universidades; cooperativas; BIC y emprendimientos circulares,Convocatoria parece cerrada o en ejecución (documento lista proyectos ya aprobados); no hay indicación de nueva apertura inmediata,Monitorear anuncio de próxima convocatoria Visión Circular 2026-2027; sistematizar aprendizajes de proyectos actuales para próxima postulación; identificar nuevos aliados empresariales,Consultar con equipo Visión Circular ANDI fechas de próxima convocatoria; pre-identificar nuevas propuestas de innovación circular,Coordinación Visión Circular ANDI,5,1,5,"Documento oficial de ANDI. Los proyectos listados están en ejecución 2025-2026. No hay indicación clara de nueva ventana de postulación inmediata, pero es estratégico para mapear aliados y preparar próxima versión. | Fuente fuera del listado oficial conocido (andi.com.co): verificar oficialidad",9d9eb40239be3566,2026-05-29
VC-0003,2026-05-29,Financiamiento Google.org con IA para problemas científicos y sociales,Google.org,Fundación,Estados Unidos,Global (incluye Colombia y América Latina),Innovación,Inteligencia artificial aplicada a problemas ambientales y sociales,Grant no reembolsable; Asistencia técnica; Innovación,No especificado (se menciona 'fondos globales'),USD,No especificado,No especificado,2026-04-17,Requiere verificación manual,Requiere verificación,No especificado,https://www.asocapitales.co/sites/default/files/files/technical_documents/boletin-cooperacion-internacional-marzo-2026-2.pdf,"Google.org ofrece grants y asistencia técnica para proyectos que usen inteligencia artificial para resolver problemas científicos y sociales. Dirigido a universidades, ONGs y entidades del Estado con áreas de innovación. Incluye acompañamiento de expertos Google.","Oportunidad para innovar en modelos de IA aplicados a reciclaje inteligente, clasificación de residuos, trazabilidad de envases/empaques, optimización de logística de recolección o ecodiseño predictivo en economía circular.",IA para clasificación automática de residuos plásticos; modelos predictivos de generación de envases; plataformas digitales para inclusión de recicladores; blockchain y IA para trazabilidad REP; ecodiseño asistido por IA,Proyecto con componente de IA; áreas de innovación institucionales; propuesta con impacto científico o social medible,No especificado,"Universidades colombianas (Andes, Javeriana, Nacional, EAFIT); centros de investigación como CTA, SENA; startups de IA; empresas ANDI con áreas de innovación digital","Fuente secundaria (boletín Asocapitales, no página oficial Google.org); falta URL directa; requisitos y montos no detallados; alta competencia global",Buscar convocatoria oficial en sitio Google.org; validar elegibilidad y requisitos; identificar aliado académico/tecnológico con capacidad en IA,Verificar en https://www.google.org/ existencia de convocatoria activa con cierre abril 2026; contactar área de innovación o alianzas estratégicas ANDI,Alianzas estratégicas / Innovación PROJECTABILITY,4,1,3,"Fecha límite 17/04/2026 próxima. Fuente secundaria (boletín Asocapitales), no se accedió a URL oficial de Google.org. Requiere verificación urgente de convocatoria real y términos oficiales. | Fuente fuera del listado oficial conocido (asocapitales.co): verificar oficialidad",0215ac618434c3b8,2026-05-29
VC-0004,2026-05-29,Propel - Financiamiento para ONGs y Proyectos Sociales (Medio Ambiente),WePropel,Plataforma,Estados Unidos,Global (incluye Colombia),Medio ambiente,Identificación de fondos internacionales para proyectos ambientales,Grant no reembolsable; Asesoría en captación de fondos,Variable según grants identificados,USD,No especificado,No especificado,2026-03-20,Requiere verificación manual,Requiere verificación,No especificado,https://www.asocapitales.co/sites/default/files/files/technical_documents/boletin-cooperacion-internacional-marzo-2026-2.pdf,"Plataforma WePropel identifica fondos internacionales para proyectos de educación, salud y medio ambiente. Dirigido a entidades públicas y organizaciones del tercer sector en Colombia. Incluye asesoría en captación de fondos y grants directos según categoría.","Puede facilitar acceso a grants internacionales para proyectos de economía circular, reciclaje, gestión de residuos, envases sostenibles. Útil para organizaciones del ecosistema Visión Circular (recicladores, ONGs, municipios).",Búsqueda de grants para proyectos de inclusión de recicladores; financiamiento de infraestructura de reciclaje; proyectos de ecodiseño con enfoque social,"Entidades públicas u organizaciones sin ánimo de lucro en Colombia; proyectos en medio ambiente (incluye gestión de residuos, sostenibilidad)",No especificado,Alcaldías; organizaciones de recicladores; ONGs ambientales colombianas; fundaciones locales,"Plataforma de intermediación, no es financiador directo; puede cobrar por servicios de asesoría; falta transparencia sobre grants específicos disponibles; fuente secundaria",Investigar sitio oficial WePropel; validar si hay costo por servicio; evaluar grants disponibles específicamente para economía circular en Colombia,Buscar URL oficial WePropel y validar convocatorias o servicios vigentes; consultar con organizaciones socias de Visión Circular interesadas,Coordinación de captación de recursos / Alianzas con organizaciones de base,3,1,2,"Fuente secundaria (boletín Asocapitales), no URL oficial. Fecha cierre 20/03/2026 muy próxima. Plataforma de intermediación, no financiador directo. Requiere urgente verificación de existencia, términos y costos asociados. | Fuente fuera del listado oficial conocido (asocapitales.co): verificar oficialidad",f195f9a91bb10bab,2026-05-29
VC-0005,2026-05-29,Programa Mejores para Colombia - iNNpulsa Colombia,iNNpulsa Colombia,Gobierno,Colombia,Colombia,Innovación,"Empresas de impacto, sostenibilidad empresarial, gobernanza ESG",Aceleración; Fortalecimiento institucional; Asistencia técnica,Becas para Certificación Empresa B (monto no especificado); acompañamiento sin costo,COP,No especificado,2025-05-08,Aproximadamente 60 días desde lanzamiento (estimado julio 2025),Activa,Baja,https://innpulsacolombia.com/cemprende/sites/default/files/2025-06/TDR_compressed.pdf,https://innpulsacolombia.com,"Programa de iNNpulsa Colombia dirigido a empresas de impacto que buscan fortalecer su sostenibilidad, liderazgo y reporte ESG. Incluye acompañamiento en Evaluación de Impacto B (EIB), Plan de Mejora, y posibilidad de becas para Certificación como Empresa B. Enfoque en gobernanza, diversidad, gestión ambiental, acción climática y economía circular.","Relevante para empresas del ecosistema Visión Circular (productoras de envases, recicladoras, BIC circulares) que deseen certificarse como Empresa B, mejorar reporte de sostenibilidad y acceder a inversión de impacto con enfoque ESG y economía circular.",Certificación Empresa B para empresas afiliadas ANDI con modelos circulares; reporte sostenibilidad para productores de envases/empaques; fortalecimiento de cadenas de valor con recicladores; estrategias ESG y circularidad,Empresas colombianas de impacto; compromiso con completar Evaluación de Impacto B; participación en sesiones grupales y construcción de Plan de Mejora,Inscripción en formulario oficial; completar 100% Evaluación de Impacto B (EIB),Sistema B Colombia; empresas BIC afiliadas ANDI; productoras de envases sostenibles; empresas recicladoras; universidades para componente investigación,"Beneficio principal es acompañamiento técnico, no grant monetario directo; becas para certificación limitadas; proceso requiere compromiso de tiempo y recursos internos empresa",Identificar 3-5 empresas del ecosistema Visión Circular interesadas en certificación Empresa B; difundir convocatoria entre afiliados ANDI; acompañar postulación,Validar fecha exacta de cierre en sitio oficial iNNpulsa; preparar comunicación a empresas afiliadas; coordinar con Sistema B Colombia,Coordinación empresarial Visión Circular / Sostenibilidad ANDI,4,1,5,"Convocatoria oficial de iNNpulsa Colombia, entidad gubernamental. Fechas estimadas a partir de documento TDR. Sesión informativa mencionada sin fecha exacta. URL oficial proporcionada. Beneficio principal es fortalecimiento institucional y posible beca certificación.",e11c31093580e722,2026-05-29
VC-0006,2026-05-29,Fundación OAK - Grants para proyectos ambientales o sociales & género,Fundación OAK,Fundación,Internacional,Global (incluye Colombia y América Latina),Medio ambiente,"Sostenibilidad, justicia social, género",Grant no reembolsable; Donación,"Hasta 25,000 USD por proyecto",USD,No especificado,Abierta permanentemente,Abierta permanentemente,Requiere verificación manual,Requiere verificación,No especificado (fuente terciaria TrabajoHumanitario.org),https://trabajohumanitario.org/convocatoria-para-financiar-proyectos-ambientales-o-sociales-genero,"Fundación OAK otorga subvenciones hasta USD 25,000 a organizaciones sin fines de lucro de todo el mundo con proyectos ambientales o sociales que impacten comunidades con problemas socioeconómicos. Convocatoria abierta todo el año.","Aplicable a proyectos de inclusión de recicladores, economía circular comunitaria, modelos de negocio circulares con enfoque social y ambiental, especialmente liderados por organizaciones de base o ONGs del ecosistema Visión Circular.",Proyectos de inclusión económica de recicladores; economía circular territorial con enfoque género; fortalecimiento de cooperativas de recicladores; emprendimientos circulares liderados por mujeres; educación ambiental y reciclaje comunitario,Organizaciones sin fines de lucro; proyectos con impacto ambiental o social medible; enfoque en comunidades vulnerables,No especificado (consultar sitio oficial Fundación OAK),Organizaciones de recicladores formalizadas; ONGs ambientales colombianas; asociaciones de mujeres recicladoras; fundaciones locales,"Monto limitado (hasta USD 25,000); fuente terciaria (TrabajoHumanitario.org), no se accedió a sitio oficial Fundación OAK; falta claridad sobre proceso de aplicación y criterios específicos",Buscar sitio web oficial Fundación OAK; validar convocatoria vigente y requisitos; identificar organizaciones de base del ecosistema Visión Circular elegibles,Verificar en sitio oficial de Fundación OAK existencia y términos de convocatoria permanente; difundir entre organizaciones socias de Visión Circular,Coordinación de alianzas con organizaciones de base / Inclusión social,4,1,3,Convocatoria permanente (ventaja: sin urgencia de cierre). Fuente terciaria; no se accedió a URL oficial Fundación OAK. Monto moderado pero útil para organizaciones pequeñas. Requiere verificación de términos oficiales. | Fuente fuera del listado oficial conocido (trabajohumanitario.org): verificar oficialidad,fbdf226e3125a04d,2026-05-29
VC-0007,2026-05-29,Programa de innovación para la circularidad de los plásticos en América Latina 2025,WRAP - The Waste and Resources Action Programme,ONG,Reino Unido,"Colombia, Chile, México",Economía circular,"Plásticos flexibles, Reciclaje, Ecodiseño, Envases y empaques",Grant no reembolsable; Innovación; Piloto demostrativo,No especificado,No especificado,No especificado,No especificado,No especificado,Requiere verificación manual,Requiere verificación,https://www.wrap.ngo/es/innovacion-circularidad-plasticos-America-Latina-2025,No especificado,"WRAP convoca a soluciones innovadoras para prevenir la contaminación por plásticos en Colombia, Chile y/o México, enfocadas en envases y empaques plásticos flexibles con alto riesgo de filtrarse al océano. Se buscan propuestas para: (1) reducir el uso de plásticos flexibles problemáticos (sachets, envoltorios, etiquetas), (2) habilitar el reciclaje de plásticos flexibles mediante diseño y tecnologías intermedias (monomaterialidad, eliminación de componentes no reciclables). Es parte del International Circular Plastics Flagship Programme, que apoya soluciones escalables en varios países.","Altamente alineada con Visión Circular ANDI: aborda directamente plásticos flexibles (prioridad del programa), reciclabilidad, ecodiseño, cierre de ciclo de envases/empaques, modelos de negocio circulares y pilotaje empresarial. Colombia es país elegible principal.",Piloto de envases flexibles reutilizables o reciclables; ecodiseño de empaques flexibles monomateriales; tecnologías de separación/clasificación de flexibles; modelos de negocio para reducción de sachets; alianzas con empresas para innovación en empaque flexible; articulación con recicladores para recuperación de flexibles,No especificado,No especificado,Empresas del Colectivo Visión Circular; Fundación Ellen MacArthur (Pacto Global de Nueva Economía del Plástico); recicladores organizados; universidades con centros de empaque/materiales; Ministerio de Ambiente; WRAP Chile (experiencia regional),"No se especifican fechas de apertura/cierre exactas; no se detalla monto; requiere verificar requisitos de elegibilidad específicos (tipos de organizaciones, sectores); posible alta competencia regional","Contactar a WRAP inmediatamente para solicitar términos de referencia completos, fechas exactas y condiciones de elegibilidad. Priorizar línea de plásticos flexibles (sachets, envoltorios) que son prioritarios en Visión Circular.",Enviar correo a WRAP solicitando información oficial de la convocatoria 2025; revisar proyectos financiados previamente en Chile (enlace menciona experiencia desde 2019); convocar empresas del Colectivo interesadas en flexibles,Coordinación de Innovación y Proyectos / Dirección Visión Circular ANDI,5,1,5,"La fuente confirma Colombia como país elegible explícitamente. WRAP tiene experiencia previa en Chile (desde 2019) lo que valida su operación regional. La convocatoria se titula '2025' lo que sugiere vigencia actual, pero se requiere verificar fechas exactas y estado (abierta/próxima). Los 3 desafíos están perfectamente alineados con las prioridades de Visión Circular. | Fuente fuera del listado oficial conocido (wrap.ngo): verificar oficialidad",22b915344d468cbf,2026-05-29
VC-0008,2026-05-29,Fondo Colombia Sostenible,BID (Banco Interamericano de Desarrollo) y CII (Corporación Interamericana de Inversiones),Banca multilateral,Multilateral,"Colombia (entidades nacionales, regionales o locales)",Sostenibilidad ambiental,"Economía circular, Reciclaje, Gestión de residuos, Cambio climático",Cooperación técnica; Donación; Grant no reembolsable; Donación de recuperación contingente; Garantía de deuda,No especificado,USD,No especificado,No especificado,Abierta permanentemente,Requiere verificación manual,Requiere verificación,https://www.apccolombia.gov.co/sites/default/files/062818_-colombia_sostenible_reglamento_operativo_version_2.pdf,No especificado,"Fondo Colombia Sostenible financia operaciones de cooperación técnica no reembolsable, inversión no reembolsable, donaciones de recuperación contingente y garantías de deuda del BID y CII para entidades colombianas (nacionales, regionales, locales). El Fondo apoya proyectos que muestren resultados cuantificables en: reducción de residuos/emisiones, tratamiento o disposición adecuada de residuos, sistemas de reutilización y reciclaje (incluido compostaje), y reducción en uso de recursos. Apoya acciones de adaptación y mitigación al cambio climático.","Altamente pertinente para Visión Circular: incluye explícitamente sistemas de reutilización, reciclaje y compostaje; reducción de residuos y emisiones; uso de tecnologías ambientales. Los criterios de elegibilidad mencionan economía circular directamente. Puede financiar proyectos de cierre de ciclo, inclusión de recicladores (tecnologías), y modelos de negocio circulares.",Asistencia técnica para implementación REP en sectores específicos; proyectos piloto de reciclaje inclusivo con tecnologías; sistemas de trazabilidad de materiales reciclables; fortalecimiento institucional de asociaciones de recicladores; tecnologías de aprovechamiento de residuos de envases; sistemas de compostaje de empaques biodegradables; pilotos de economía circular territorial,"Ser entidad elegible colombiana (nacional, regional o local); proyectos deben mostrar resultados cuantificables en al menos uno de los aspectos ambientales especificados (reducción residuos, reciclaje, etc.); cumplir políticas BID de gastos elegibles","No especificado en detalle; se infiere: formulación de proyecto según estándares BID, indicadores cuantificables, presupuesto según políticas BID",BID (administrador del Fondo); Ministerio de Ambiente (puede ser contraparte); alcaldías/gobernaciones (entidades locales/regionales); universidades (para componentes técnicos); asociaciones de recicladores (beneficiarios); empresas del Colectivo Visión Circular (coejecutores),Documento del reglamento operativo es de 2018 (versión 2); se requiere verificar si sigue vigente en 2025 y si hay actualizaciones; no se especifica monto disponible actual del Fondo; procesos de aprobación BID pueden ser largos; puede requerir contrapartida (no especificado),"Verificar vigencia del Fondo con APC Colombia o BID Colombia; solicitar información actualizada sobre ventanillas abiertas y montos disponibles; identificar proyectos maduros de Visión Circular que cumplan criterios (reciclaje, reutilización) para formulación según estándares BID",Contactar a APC Colombia (Agencia Presidencial de Cooperación) para confirmar vigencia del Fondo y procedimientos actuales; revisar proyectos de economía circular en portafolio Visión Circular que puedan escalar con este financiamiento,Área de Cooperación Internacional / Dirección de Sostenibilidad ANDI,5,1,4,"El reglamento operativo es de junio 2018 (versión 2), por lo que se requiere verificar vigencia actual. Sin embargo, los fondos BID suelen tener vigencia plurianual. La inclusión explícita de 'sistemas de reutilización y reciclaje' como gasto elegible es muy relevante. ANDI podría aplicar si articula con entidades elegibles (alcaldías, ministerios) o empresas. El documento menciona proyectos del FOMIN (ahora BID Lab), lo que amplía posibilidades.",dce892fb2d1fc357,2026-05-29
VC-0009,2026-05-29,Proyecto Empleos Verdes de la Economía Circular (PREVEC),Gobierno de Alemania (cooperación bilateral con Colombia),Cooperación bilateral,Alemania,Colombia,Economía circular,"Inclusión de recicladores, Empleos verdes, Capacitación, Fortalecimiento de recicladores",Cooperación técnica; Asistencia técnica; Fortalecimiento institucional; Inclusión social,No especificado,No especificado,No especificado,No especificado,No especificado,Requiere verificación manual,Requiere verificación,https://www.minambiente.gov.co/gobierno-plantea-apoyo-economico-para-fortalecer-asociaciones-de-recicladores,No especificado,"PREVEC es un proyecto de cooperación entre Colombia y Alemania que articula sectores público, privado, población recicladora y cooperación internacional para fortalecer la ruta hacia una economía circular. Incluye el primer laboratorio de economía circular en Colombia (SENA) que certificará aproximadamente 2000 recicladores al año. La Ministra de Ambiente anunció que se estudiará la viabilidad de incentivos económicos a asociaciones de recicladores y ciudadanos que reciclen.","Muy pertinente para Visión Circular: el proyecto aborda inclusión de recicladores (pilar clave del programa), capacitación técnica, fortalecimiento de asociaciones, y articula sector privado (empresas del Colectivo ANDI podrían vincularse). Complementa la implementación de REP que requiere integración de recicladores.",Articulación del Colectivo Visión Circular con PREVEC para capacitación de recicladores en manejo de envases/empaques; pilotos de reciclaje inclusivo con empresas; fortalecimiento técnico de asociaciones de recicladores socias de esquemas REP; certificación de competencias de recicladores en manejo de plásticos/flexibles; alianzas con SENA para formación técnica específica,"No especificado; se infiere: articulación con Ministerio de Ambiente, GIZ Colombia, SENA; foco en inclusión de recicladores y economía circular",No especificado,"Ministerio de Ambiente y Desarrollo Sostenible; GIZ Colombia (implementador técnico probable); SENA (Laboratorio de Economía Circular); asociaciones de recicladores (ARB, otras); empresas del Colectivo Visión Circular (como sector privado); alcaldías locales",No se especifica si hay ventanas abiertas para nuevos socios o proyectos; puede ser un proyecto ya estructurado con socios definidos; no se detalla si hay financiamiento adicional disponible o solo asistencia técnica; requiere articulación gubernamental,"Contactar a Ministerio de Ambiente (Dirección de Asuntos Ambientales Sectorial y Urbana o de Economía Circular) y GIZ Colombia para explorar cómo Visión Circular puede articularse con PREVEC, especialmente en componentes de inclusión de recicladores en esquemas empresariales REP",Solicitar reunión con MinAmbiente y/o GIZ Colombia para presentar Visión Circular y explorar sinergias con PREVEC; identificar empresas del Colectivo interesadas en vincular recicladores certificados,Coordinación de Articulación Institucional / Dirección de Visión Circular ANDI,5,1,4,"La noticia es reciente (menciona visita de Ministra alemana a Colombia, primer viaje a Latinoamérica). El Laboratorio de Economía Circular en SENA es una infraestructura concreta y operativa. No se especifica si PREVEC tiene fondos para nuevos proyectos o solo brinda asistencia técnica. La articulación público-privada-recicladores es exactamente el modelo de Visión Circular. Se requiere verificar etapa actual del proyecto y ventanas de articulación.",bd43ee37f573e34e,2026-05-29
VC-0010,2026-05-29,CircularEconomy4Colombia: Agrichallenge,CGIAR / AgriTech Challenge,Plataforma,Internacional,Colombia (nacional y global con aplicabilidad en Colombia),Economía circular,"Valorización de residuos agroindustriales, tratamiento de aguas residuales, conversión de residuos en alimento animal, energía renovable de residuos agrícolas",Premio o challenge; Aceleración; Asistencia técnica; Financiamiento; Innovación; Piloto demostrativo,No especificado,No especificado,No especificado,No especificado,No especificado,Requiere verificación manual,Requiere verificación,https://agritechchallenge.org/projects/circulareconomy-4colombia,No especificado,"Desafío de innovación para acelerar la transición hacia una economía circular en el sector agroalimentario de Colombia, alineado con el Plan Nacional de Desarrollo 2022-2026 y los objetivos de la COP 16 Colombia. Ofrece mentoría experta, capacitación empresarial, oportunidades de financiamiento y red de líderes de la industria e inversionistas para soluciones en etapa temprana. Busca innovaciones en valorización de residuos, tratamiento de aguas, conversión de residuos en alimento animal y energía renovable.","Altamente relevante para Visión Circular ANDI porque aborda valorización de residuos orgánicos, conversión en productos de valor agregado, y economía circular sectorial. La iniciativa conecta con envases agroalimentarios y cierre de ciclos en sectores priorizados por ENEC Colombia.",Pilotos de valorización de residuos de empaques agroalimentarios; soluciones de tratamiento de aguas residuales en cadenas productivas; conversión de residuos agroindustriales en energía o materias primas; modelos de negocio circulares para sector agrícola con participación de cooperativas y empresas,Innovadores nacionales o globales con soluciones en etapa temprana aplicables al contexto colombiano; científicos de CGIAR con enfoque emprendedor; alineación con áreas prioritarias del desafío,No especificado,"CGIAR, empresas agroindustriales, cooperativas de recicladores de base orgánica, universidades con facultades agrícolas, MinAmbiente, MADR, gremios del sector agroalimentario",Enfoque sectorial en agro puede limitar aplicabilidad directa para envases no agroalimentarios; elegibilidad de entidades gremiales no confirmada explícitamente,Verificar fechas de apertura y cierre de convocatoria contactando directamente a AgriTech Challenge. Evaluar sinergias entre línea de acción de envases/empaques de ENEC y residuos agroindustriales.,"Contactar a los organizadores vía la web oficial para confirmar estado de convocatoria, requisitos de elegibilidad para gremios/programas como Visión Circular, y plazos. Mapear empresas asociadas ANDI del sector agroalimentario interesadas en valorización de residuos.",Coordinación de proyectos / Área de innovación y economía circular,4,1,4,La fuente no especifica fechas claras de convocatoria activa ni montos; se requiere verificación directa. El enfoque agroalimentario es complementario a la línea de envases/empaques de ENEC. La participación de CGIAR sugiere posibilidad de alianzas con centros de investigación. | Fuente fuera del listado oficial conocido (agritechchallenge.org): verificar oficialidad,1dbdd3477625f86f,2026-05-29
